account_type,account_name,location,priority_tier,hiring_signal,estimated_headcount,decision_maker_role,outreach_angle,sequence_version,evidence_tag,notes,week_1_target,week_2_target
Partner,Austin Workforce Solutions Board,Austin Metro,Tier 1,WIOA / workforce board partner,Board level,Workforce Board Director,Outcome tracking + partner accountability + grant proof,Partner Sequence 1: Outcome Visibility,98.8% completion + 53 employer network + outcome data,Known existing partner network; grant cycle timing critical,Warm intro request first,Email/call after intro
Partner,WorkSource Austin,Austin Metro,Tier 1,Community workforce nonprofit,Nonprofit,Executive Director / Program Director,Outcome visibility for referral accountability,Partner Sequence 1: Outcome Visibility,Referral tracking + 98.8% completion rates,Likely already referring to historical training; strong pain point,Email 1 by Wed,Meeting request Week 1 if replied
Partner,Capital IDEA,Austin Metro,Tier 1,Nonprofit job training + placement,Nonprofit,Executive Director,Outcome tracking + placement verification,Partner Sequence 1: Outcome Visibility,Post-completion employer/title/pay tracking,Strong reputation; likely refers similar populations,Email 1 by Thu,Email 2 Week 2 if no reply
Partner,Austin Community College,Austin Metro,Tier 2,Public community college,Higher Ed,Career Services Director,Program partnership + student outcome tracking,Partner Sequence 2: Advisory Angle,Alignment with existing training + completion data,Potential partner for job board + outcomes integration,Email 1 Week 2,Follow-up Week 2
Partner,East Austin Nonprofit Alliance,Austin Metro,Tier 2,Multi-org workforce collaboration,Nonprofit Coalition,Alliance Director,Coordination + partner outcome visibility,Partner Sequence 1: Outcome Visibility,Outcome proof for funder conversations,Represents multiple smaller partners; easier to scale impact,Email 1 Week 2,Email 2 Week 2
Partner,Austin Community College Foundation,Austin Metro,Tier 2,Grant-making foundation focused on workforce,Foundation,Program Officer,Funder + partner dual role; grant cycling,Partner Sequence 2: Grant/Renewal Angle,Outcome proof for grants they're funding,May be both partner and funder; test both angles,Email 1 Week 2,Follow-up Week 2
Partner,YWCA Austin (Workforce Programs),Austin Metro,Tier 2,Women-focused job training nonprofit,Nonprofit,Program Director,Referral accountability + outcome tracking,Partner Sequence 1: Outcome Visibility,Women-focused training outcomes + placement data,Known to place into entry-level roles; outcome focus important,Email 1 Week 2,Email 2 Week 2 if no reply
Partner,Covenant Church Job Ministry (or equiv),Austin Metro,Tier 3,Church-based workforce support,Nonprofit,Volunteer Coordinator / Pastor,Referral tracking + outcome visibility,Partner Sequence 1: Outcome Visibility,Completion tracking + placement outcomes,Lower formality; may need simplified messaging,Email 1 (Week 2 / Month 2),Follow-up later; lower velocity
Funder,Texas Workforce Commission (WIOA),State Level,Tier 1,Government workforce funder,Government,Regional WIOA Director,Outcome tracking + evidence-based accountability,Funder Sequence 1: RFP / Grant Opportunity,12-year outcome history + 824 completion records + 63 verified placements,Critical state-level funder; RFP timing is everything,Research RFP calendar first; reach out 6 weeks before RFP,Email/call at RFP window
Funder,Austin Community Foundation,Austin Metro,Tier 2,Community foundation with workforce focus,Foundation,Program Officer - Workforce,Outcome proof for funded programs,Funder Sequence 1: RFP / Grant Opportunity,Outcome transparency + provider comparison capability,Known to fund workforce; outcome-focused RFP likely,Email 1 (Month 2 / at grant cycle),Follow-up at grant cycle
Funder,Dell (CSR / Employee Development Grant Program),Austin Metro,Tier 2,Corporate grant funder,Corporate,CSR Director / Community Relations,Outcome proof + employee pipeline alignment,Funder Sequence 1: RFP / Grant Opportunity,Employer + funder dual narrative + outcomes,Often funds workforce programs; combined employer + funder angle,Email 1 (Month 2),Follow-up Month 2
Funder,JPMorgan Chase (Community Development),National / Regional,Tier 2,Major foundation funder of workforce,Foundation,Program Officer,Outcome transparency + national scaling narrative,Funder Sequence 1: RFP / Grant Opportunity,Scalable outcome model + regional expansion potential,Large national funder; focus on replicable models,Email 1 (Month 2 / at RFP),Follow-up at RFP window
Funder,Central Texas Regional WIOA Consortium,Regional,Tier 3,Multi-county workforce board,Government,Regional Director,Outcome tracking across multiple counties,Funder Sequence 1: RFP / Grant Opportunity,Geographic expansion + multi-county outcome proof,Lower priority; test after initial state/local success,Research RFP calendar; Email 1 Month 2,Follow-up Month 2 / Month 3
